mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.22292780876159668,0.008212900375978481,0.027501344680786133,0.004117585874812446,50,2,5,20,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_depth': 20}",0.9068067278121741,0.9217132030022178,0.9233463905481883,0.9172887737875267,0.007441854216171914,2
0.3496939341227214,0.012615071292314517,0.0317385196685791,0.00044007475879452677,100,100,1,8,"{'n_estimators': 100, 'min_samples_split': 100, 'min_samples_leaf': 1, 'max_depth': 8}",0.9106571109876761,0.9228594283674113,0.9239932254634897,0.9191699216061924,0.006037236256975623,1
0.1802822748819987,0.03546900644559229,0.022857268651326496,0.007758842622242032,50,10,1,5,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 5}",0.9047915001422513,0.9160351787806512,0.9129857334768987,0.9112708041332671,0.004747688161701393,10
0.08025828997294109,0.0013985281370562151,0.010508298873901367,0.00024028429548755164,20,15,10,8,"{'n_estimators': 20, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_depth': 8}",0.908838325678855,0.9175293956810635,0.91885187649916,0.9150731992863594,0.0044416570147281205,8
0.40078051884969074,0.020300495769148347,0.036664088567097984,0.0007548840846949357,100,15,10,20,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_depth': 20}",0.9041146771797199,0.9213313161875947,0.9189868926954543,0.9148109620209229,0.0076237332250779985,9
0.2066650390625,0.0030455581704258165,0.02158816655476888,0.0005211572857907201,50,15,5,20,"{'n_estimators': 50, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_depth': 20}",0.9073971838745659,0.9238570794245485,0.9181033557456455,0.9164525396815867,0.006820358526113832,4
0.17853617668151855,0.0023313673764634602,0.018487850824991863,0.00029768519834997816,50,15,2,8,"{'n_estimators': 50, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_depth': 8}",0.9055326749127299,0.9226182069623163,0.9204042802958831,0.9161850540569764,0.007586402480564361,5
0.3472467263539632,0.000799018273845613,0.031145016352335613,0.0022788112341000978,100,10,5,8,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 8}",0.9085239050031838,0.9199094092165785,0.9173169852634623,0.9152500998277415,0.004872469469827591,6
0.0727826754252116,0.0008193233185145104,0.011094411214192709,0.00024919280055058787,20,2,10,8,"{'n_estimators': 20, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_depth': 8}",0.9070505872949209,0.9190654167594079,0.919381772700516,0.9151659255849482,0.005739863932275547,7
0.22681943575541177,0.03937559830801434,0.02084493637084961,0.0005666612627914032,100,100,5,8,"{'n_estimators': 100, 'min_samples_split': 100, 'min_samples_leaf': 5, 'max_depth': 8}",0.9094632156033942,0.9206788320590591,0.9213493936699436,0.9171638137774657,0.005452022401359126,3
